Go on.,Poursuis.
Tom was looking for place to eat that had reasonable prices.,Tom cherchait un endroit avec des prix raisonnables pour manger.
Tom's French pronunciation isn't as good as he thinks it is.,La prononciation du français de Tom n'est pas aussi bonne qu'il ne le pense.
"Tom's lost a lot of blood, but he hasn't lost consciousness.",Tom a perdu beaucoup de sang mais il ne s'est pas évanouit.
We are going to make up for lost time by taking a short cut.,On va essayer de rattraper le retard en prenant un raccourci.
We did not expect him to finish the task in so short a time.,Nous ne nous attendions pas à ce qu'il termine le travail en si peu de temps.
"We don't like our neighbors, and they don't like us, either.",Nous n'aimons pas nos voisins et ils ne nous aiment pas non plus.
We need to get this truck unloaded before it starts raining.,Nous devons décharger ce camion avant qu'il commence à pleuvoir.
We take it for granted that he will succeed in his business.,Nous considérons comme un fait accompli qu'il rencontrera le succès dans ses affaires.
"We'll go to Hong Kong first, and then we'll go to Singapore.","Nous irons d'abord à Hong Kong, et ensuite à Singapour."
We're looking for some computer-savvy people to work for us.,Nous recherchons des gens férus d'ordinateurs pour travailler pour nous.
We're looking for some computer-savvy people to work for us.,Nous recherchons des gens qui s'y connaissent en ordinateurs pour travailler pour nous.
Were you really able to get Tom to do your homework for you?,Étais-tu vraiment capable de laisser faire tes devoirs par Tom?
What does it cost to build a new house in this neighborhood?,Que coûte la construction d'une maison dans ce coin ?
What makes you think that Tom prefers living in the country?,Qu'est-ce qui te fait penser que Tom préfère vivre à la campagne ?
What would you attempt to do if you knew you could not fail?,Que tenteriez-vous si vous saviez que vous ne pouviez pas échouer ?
What would you attempt to do if you knew you could not fail?,Que tenterais-tu si tu savais que tu ne pouvais pas échouer ?
"When the weather was nice, Tom always left his windows open.","Lorsqu'il faisait beau, Tom laissait toujours sa fenêtre ouverte."
"When you make the bed, don't forget to fluff up the pillows.","Lorsque tu fais le lit, n'oublie pas de regonfler les oreillers."
"When you make the bed, don't forget to fluff up the pillows.","Lorsque vous faites le lit, n'oubliez pas de regonfler les oreillers."
"When you've finished reading that book, I'd like to read it.","Lorsque vous aurez fini de lire ce livre, j'aimerais le lire."
"When you've finished reading that book, I'd like to read it.","Lorsque vous aurez terminé de lire ce livre, j'aimerais le lire."
"When you've finished reading that book, I'd like to read it.","Lorsque tu auras fini de lire ce livre, j'aimerais le lire."
"When you've finished reading that book, I'd like to read it.","Lorsque tu auras terminé de lire ce livre, j'aimerais le lire."
Why would she go out of her way to help a deadbeat like you?,Pourquoi s'embêterait-elle à aider un bon à rien comme toi ?
Why would she go out of her way to help a deadbeat like you?,Pourquoi s'embêterait-elle à aider un naze comme toi ?
"With the bridge destroyed, there was nothing to do but swim.","Le pont détruit, il n'y avait rien d'autre à faire que de nager."
"With your experience, any company would hire you right away.","Avec ton expérience, n'importe quelle entreprise voudrait t'employer sur-le-champ."
"Without your encouragement, I would have given up this plan.","Sans tes encouragements, j'aurais laissé tomber ce projet."
"Without your encouragement, I would have given up this plan.","Sans vos encouragements, j'aurais laissé tomber ce projet."
Would you consider taking care of my children next Saturday?,Pourrais-tu réfléchir à t'occuper de mes enfants samedi prochain ?
Would you consider taking care of my children next Saturday?,Pourriez-vous réfléchir à vous occuper de mes enfants samedi prochain ?
Would you like to come over for dinner after work on Monday?,Souhaiteriez-vous venir dîner après le travail lundi ?
Would you like to come over for dinner after work on Monday?,Voudrais-tu venir dîner après le travail lundi ?
Would you mind telling me what you're doing in my apartment?,Tu pourrais me dire ce que tu fais dans mon appartement ?
Years of running in marathons have taken a toll on my knees.,Des années à courir les marathons ont eu des effets négatifs sur mes genoux.
"You can lie to everyone else, but you can't lie to yourself.","Tu peux mentir à tous les autres, mais tu ne peux pas te mentir à toi-même."
"You can take a horse to water, but you can't make him drink.","Tu auras beau amener le cheval à la rivière, mais tu ne le feras pas boire pour autant."
You can't fight a good fight with such a defeatist attitude.,Tu ne peux pas livrer une bonne bataille avec une attitude aussi défaitiste.
You forgot to lock your office door yesterday when you left.,"Tu as oublié, hier, de verrouiller la porte de ton bureau, lorsque tu es parti."
You forgot to lock your office door yesterday when you left.,"Vous avez oublié, hier, de fermer la porte de votre bureau, lorsque vous êtes parti."
You forgot to lock your office door yesterday when you left.,"Vous avez oublié, hier, de fermer la porte de votre bureau, lorsque vous êtes partie."
You forgot to lock your office door yesterday when you left.,"Vous avez oublié, hier, de fermer la porte de votre bureau, lorsque vous êtes partis."
You forgot to lock your office door yesterday when you left.,"Vous avez oublié, hier, de fermer la porte de votre bureau, lorsque vous êtes parties."
You get paid in proportion to the amount of the work you do.,Vous êtes payé proportionnellement à la quantité de travail fourni.
You must have women throwing themselves at you all the time.,Vous devez avoir des femmes qui se pendent à votre cou tout le temps.
You must have women throwing themselves at you all the time.,Tu dois avoir des femmes qui se pendent à ton cou tout le temps.
You must have women throwing themselves at you all the time.,Tu dois tout le temps avoir des femmes qui se pendent à ton cou.
You must turn in your old license in order to get a new one.,Il faut rendre sa vieille licence pour en avoir une nouvelle.
You must turn in your old license in order to get a new one.,Il faut rendre sa vieille licence pour en obtenir une nouvelle.
You promised me that you would make something for us to eat.,Tu m'as promis que tu nous ferais quelque chose à manger.
You should concentrate on one thing and learn to do it well.,Tu devrais te concentrer sur une chose et apprendre à bien la faire.
You should go to the dentist and have that tooth pulled out.,Tu devrais aller chez le dentiste te faire extraire cette dent.
You should go to the dentist and have that tooth pulled out.,Vous devriez aller chez le dentiste pour vous faire extraire cette dent.
You should not despise a man just because he is poorly paid.,On ne devrait pas mépriser un homme juste parce qu'il est mal payé.
You should try to form the habit of using your dictionaries.,Vous devriez prendre l'habitude d'utiliser votre dictionnaire.
You'd be amazed how many times I've told Tom not to do that.,Tu serais impressionné du nombre de fois où j'ai dit à Tom de ne pas faire cela.
You'll make the same mistake if things continue in this way.,Tu commettras la même erreur si les choses se poursuivent ainsi.
You'll make the same mistake if things continue in this way.,Vous commettrez la même erreur si les choses se poursuivent de cette manière.
You're the only person I know who is qualified for this job.,Vous êtes la seule personne que je connaisse qui soit qualifiée pour ce poste.
You're the only person I know who is qualified for this job.,Vous êtes la seule personne que je connaisse qui soit qualifiée pour cette mission.
Your eccentricities can make you either charming or tedious.,Tes excentricités peuvent te rendre tantôt charmant ou ennuyeux.
"How did you get in here? ""I climbed in through the window.""",« Comment es-tu entré ici ? » « Par la fenêtre. »
"Shall I have him call you when he gets back? ""Yes, please.""","« Devrai-je le prier de vous appeler lorsqu'il revient ? » « Oui, s'il vous plaît. »"
"What's going on in the cave? I'm curious. ""I have no idea.""",« Qu'est-ce qu'il se passe dans la grotte ? Je suis curieux. » « Je n'en ai aucune idée. »
"What's going on in the cave? I'm curious. ""I have no idea.""",« Qu'est-ce qu'il se passe dans la grotte ? Je me demande vraiment. » « Je n'en ai pas la moindre idée. »
A fat man seldom dislikes anybody very hard or for very long.,Un gros homme n'a jamais une très forte ou très longue aversion envers qui que ce soit.
A fire broke out last night and three houses were burnt down.,Un incendie s'est déclaré hier soir et 3 maisons ont entièrement brûlé.
A new team was formed in order to take part in the boat race.,Une nouvelle équipe fut formée afin de prendre part à la course de bateaux.
A person with common sense would never do this kind of thing.,Une personne de bon sens ne ferait jamais une telle chose.
A young man asked us if he could succeed as a public speaker.,Un jeune homme nous demanda s'il pouvait réussir comme orateur.
"According to the weather forecast, it will clear up tomorrow.","Selon les prévisions météorologiques, cela s'éclaircira demain."
"According to what they say, that boy is very good at singing.","D'après eux, ce garçon chante très bien."
"After eight months, he eventually started dating girls again.",Il a finalement recommencé à sortir avec des filles après huit mois.
"After much debate, we decided to spend our holidays in Spain.","Après pas mal de discussions, nous décidâmes de passer les vacances en Espagne."
"After the Christmas party was over, we all went out caroling.","Après la fête de Noël, nous sommes tous allés chanter."
An electric guitar doesn't sound the same as an acoustic one.,Une guitare électrique sonne différemment d'une acoustique.
"Apart from a few spelling mistakes, it is a good composition.","Malgré quelques fautes d'orthographe, c'est une bonne copie."
Apparently my bare feet bothered him more than anything else.,Le fait que je sois nu-pieds le dérangeait apparemment plus que toute autre chose.
Are you aware that Okinawa is closer to China than to Honshu?,Sais-tu qu'Okinawa est plus près de la Chine que de Honshu ?
"As I got the train this morning, I met an old friend of mine.","En prenant le train ce matin, j'ai rencontré un vieil ami."
"As had been expected, the weather turned out to be very fine.","Comme nous l'espérions, le temps a changé pour devenir beau."
"As the train pulled out, they waved goodbye to their parents.","Comme le train partait, ils firent au revoir à leurs parents."
"Before going to study in Paris, I must brush up on my French.","Avant de me rendre à Paris pour travailler, je dois rafraîchir mon français."
"Before we say goodbye, there's something I'd like to ask you.","Avant que nous nous disions au revoir, il y a quelque chose que j'aimerais vous demander."
Can you please tell me where the nearest public telephone is?,Pouvez-vous me dire où se trouve la cabine téléphonique la plus proche ?
Cancer can be cured easily if it is found in its first phase.,Le cancer peut être facilement guéri s'il est détecté dans sa phase initiale.
"Cherry blossoms last only for a few days, a week at the most.","La floraison des cerisiers ne dure que quelques jours, une semaine tout au plus."
Children whose parents are rich do not know how to use money.,Les enfants dont les parents sont riches ne savent pas gérer leur argent.
Company regulations mandate that workers wear safety glasses.,Les règles de l'entreprise exigent que les employés portent des lunettes de sécurité.
Delegates from many countries participated in the conference.,Des représentants de nombreux pays ont participé à la conférence.
Did it ever occur to you that I might be busy this afternoon?,"T'est-il jamais venu à l'esprit que je pourrais être occupé, cet après-midi ?"
Did it ever occur to you that I might be busy this afternoon?,"Vous est-il jamais venu à l'esprit que je pourrais être occupée, cette après-midi ?"
Didn't you tell me yesterday that you wouldn't be late today?,Ne m'as-tu pas dit hier que tu ne serais pas en retard aujourd'hui ?
Didn't you tell me yesterday that you wouldn't be late today?,Ne m'avez-vous pas dit hier que vous ne seriez pas en retard aujourd'hui ?
Do you believe global warming is the result of human actions?,Croyez-vous que le réchauffement climatique est le résultat d'actions humaines ?
Do you spend more time with your friends or with your family?,Passes-tu davantage de temps avec tes amis ou avec ta famille ?
Do you spend more time with your friends or with your family?,Passez-vous davantage de temps avec vos amis ou avec votre famille ?
Do you spend more time with your friends or with your family?,Passes-tu davantage de temps avec tes amies ou avec ta famille ?
Do you spend more time with your friends or with your family?,Passez-vous davantage de temps avec vos amies ou avec votre famille ?
Do you think it's dangerous to eat genetically modified food?,Pensez-vous qu'il soit dangereux de consommer de la nourriture génétiquement modifiée ?
Do you want this done quickly or do you want this done right?,Voulez-vous que ceci soit fait rapidement ou voulez-vous que ceci soit correctement ?
Do you want this done quickly or do you want this done right?,Veux-tu que ce soit fait rapidement ou correctement ?
Don't ask me for forgiveness. What's been done has been done.,Ne me demande pas de pardon. Ce qui a été fait a été fait.
Don't ask me for forgiveness. What's been done has been done.,Ne me demandez pas de pardon. Ce qui a été fait a été fait.
Don't go near the bulldog. You wouldn't want him to bite you.,Ne t'approche pas du bulldog. Tu ne voudrais pas qu'il te morde.
Don't listen to Tom. He doesn't know what he's talking about.,N'écoute pas Tom. Il ne sait pas de quoi il parle.
"During droughts, farmers are barely able to eke out a living.","Lors des sécheresses, les fermiers sont à peine en mesure de survivre."
Education does not consist simply in learning a lot of facts.,L'éducation ne consiste pas seulement dans l'apprentissage pur et dur.
"Everyone looks the same, except the one standing on his head.","Ils se ressemblent tous, à l'exception de celui qu'il a sur la tête."
"Everyone looks the same, except the one standing on his head.","Elles se ressemblent toutes, à l'exception de celle qu'il a sur la tête."
"For your own safety, never ride in a car with a drunk driver.","Pour ta propre sécurité, ne monte jamais à bord d'une voiture avec un conducteur en état d'ébriété."
"For your own safety, never ride in a car with a drunk driver.","Pour votre propre sécurité, ne montez jamais à bord d'une voiture avec un conducteur en état d'ébriété."
Hailing a cab in Manhattan at 5:00 p.m. is nearly impossible.,Héler un taxi à Manhattan à cinq heures de l'après-midi est presque impossible.
Have you had a thorough medical checkup within the last year?,Avez-vous subi un contrôle médical exhaustif lors de l'année écoulée ?
Have you heard that a burglar broke into my neighbor's house?,As-tu entendu dire qu'un cambrioleur a forcé la maison de mon voisin ?
Have you heard that a burglar broke into my neighbor's house?,Avez-vous appris qu'un cambrioleur a forcé la maison de mon voisin ?
He anonymously donated a large sum of money to the Red Cross.,Il a anonymement donné une grosse somme d'argent à la Croix-Rouge.
He anonymously donated a large sum of money to the Red Cross.,Il a anonymement fait don d'une importante somme d'argent à la Croix-Rouge.
He bought the land for the purpose of building a house on it.,Il a acheté le terrain dans le but de s'y construire une maison.
He does not like to wait until the last moment to do a thing.,Il n'aime pas attendre jusqu'au dernier moment pour faire quelque chose.
He introduced the problem of education into the conversation.,Il a introduit le problème de l'éducation dans la conversation.
He is working hard in order to pass the entrance examination.,Il travaille dur afin de réussir l'examen d'entrée.
He is working hard in order to pass the entrance examination.,Il travaille dur pour réussir l'examen d'entrée.
He must be a good walker to have walked such a long distance.,Il doit être bon marcheur pour avoir parcouru une si grande distance.
He never opens his mouth without complaining about something.,"Dès qu'il ouvre la bouche, c'est pour se plaindre."
He says what he thinks regardless of other people's feelings.,Il dit ce qu'il pense sans se soucier de ce que les autres pensent.
He was so busy that he sent his son instead of going himself.,Il était tellement occupé qu'il envoya son fils à sa place.
He's an accredited representative of the Canadian government.,Il est représentant accrédité du gouvernement canadien.
He's an accredited representative of the Canadian government.,C'est un représentant accrédité du gouvernement canadien.
His lack of technical knowledge kept him from being promoted.,Son manque de connaissances techniques l'empêcha d'être promu.
His story was so funny that everyone could not help laughing.,Son histoire était si drôle que personne ne pouvait s'empêcher de rire.
How many days will it take if I send this as registered mail?,Combien de jours seront-ils nécessaires si j'envoie ceci comme courrier recommandé ?
How many students have been admitted to the school this year?,Combien d'étudiants ont été admis à l'école cette année ?
How many suicides do you think there are every year in Japan?,Combien de suicides pensez-vous qu'il y ait chaque année au Japon ?
How many suicides do you think there are every year in Japan?,Combien de suicides penses-tu qu'il y ait chaque année au Japon ?
I am sorry that I haven't written to you in such a long time.,Je suis désolé de ne pas t'avoir écrit pendant aussi longtemps.
I am sorry that I haven't written to you in such a long time.,Je suis désolé de ne pas vous avoir écrit pendant aussi longtemps.
I am sorry that I haven't written to you in such a long time.,Je suis désolée de ne pas t'avoir écrit pendant aussi longtemps.
I am sorry that I haven't written to you in such a long time.,Je suis désolée de ne pas vous avoir écrit pendant aussi longtemps.
I assure you that an error like this will never happen again.,Je vous assure qu'une telle erreur ne se reproduira plus.
I ate half the apple before I noticed there was a worm in it.,J'ai mangé la moitié de la pomme avant de m'apercevoir qu'elle contenait un ver.
I can walk from my house to the station in only five minutes.,Je peux me rendre à pied de ma maison à la gare en seulement cinq minutes.
I can't believe that you were the smartest kid in your class.,Je n'arrive pas à croire que tu étais l'enfant le plus intelligent de ta classe.
I can't believe that you were the smartest kid in your class.,Je n'arrive pas à croire que tu étais le gamin le plus intelligent de ta classe.
I can't stand it here any longer. I need a change of scenery.,Je ne peux plus supporter d'être ici. J'ai besoin de changer de décor.
"I can't tell you his name, but I can tell you where he lives.","Je ne peux pas vous dire son nom, mais je peux vous dire où il vit."
"I can't tell you his name, but I can tell you where he lives.","Je ne peux pas te dire son nom, mais je peux te dire où il habite."
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureux que tu sois venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureuse que tu sois venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureux que tu sois venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureuse que tu sois venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureux que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureux que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureux que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureux que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureuse que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureuse que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureuse que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire combien je suis heureuse que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureuse que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureuse que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureuse que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureuse que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureux que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureux que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureux que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas vous dire à quel point je suis heureux que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureuse que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureux que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureuse que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureuse que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureuse que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureux que vous soyez venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureux que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire à quel point je suis heureux que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureux que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureuse que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureux que vous soyez venues nous rendre visite.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureuse que vous soyez venues nous rendre visite.
I can't tell you how much I've looked forward to this moment.,Si vous saviez à quel point j'ai attendu ce moment!
I could hear the sound of children playing outside my window.,J'entendais le bruit d'enfants qui jouaient sous ma fenêtre.
I could hear the sound of children playing outside my window.,J'entendais le bruit d'enfants jouant devant ma fenêtre.
I didn't know that this was the first time you kissed a girl.,Je ne savais pas que c'était la première fois que tu embrassais une fille.
I didn't want to spend any more time working on that project.,Je ne voulais pas passer davantage de temps à travailler à ce projet.
I didn't want to spend any more time working on that project.,Je ne voulais pas passer davantage de temps à travailler sur ce projet.
"I do not like tea, so I generally drink coffee for breakfast.","Je n'aime pas le thé, aussi en général c'est du café que je bois au petit déjeuner."
"I do not like tea, so I generally drink coffee for breakfast.","Je n'aime pas le thé, donc je bois généralement du café au petit-déjeuner."
I don't know how I did it. What's important is that I did it.,J'ignore comment je l'ai fait. Ce qui importe est que je l'ai fait.
I don't think that we should be talking about this right now.,Je ne pense pas que nous devrions en parler maintenant.
I doubt that our new boss will be any worse than the old one.,Je doute que notre nouveau patron soit pire que l'ancien.
I doubt that our new boss will be any worse than the old one.,Je doute que notre nouvelle patronne soit pire que l'ancienne.
"I enjoy cooking, but I don't like the cleaning up afterwards.","J'aime cuisiner, mais je n'aime pas tout nettoyer après."
I feel sad when I think about all the people who die in wars.,Je suis triste quand je pense à toutes les personnes qui meurent au cours des guerres.
I finally found out what had been causing the pain in my leg.,J'ai enfin trouvé ce qui causait la douleur dans ma jambe.
I gave you an extra hour and you still didn't finish the job.,Je vous ai accordé une heure de plus et vous n'avez toujours pas fini le boulot.
I gave you an extra hour and you still didn't finish the job.,Je t'ai accordé une heure de plus et tu n'as toujours pas fini le boulot.
I guess it's impossible for me to learn how to play the oboe.,Je suppose qu'il m'est impossible d'apprendre à jouer du hautbois.
I had a nagging sensation that I'd seen him somewhere before.,J'avais la sensation persistante de l'avoir vu quelque part auparavant.
I hate it when I have to sit between two fat guys on a plane.,Je déteste ça quand je dois m'asseoir entre deux grosses personnes dans un avion.
"I have no time for that, and besides, I don't have any money.","Je n'ai pas le temps pour cela, et en plus, je n'ai pas d'argent."
I have the feeling there's something you haven't told me yet.,J'ai le sentiment qu'il y a quelque chose que tu ne m'as pas encore dit.
I have the feeling there's something you haven't told me yet.,J'ai le sentiment qu'il y a quelque chose que vous ne m'avez pas encore dit.
I have to go to the store to buy some shampoo and toothpaste.,Je dois aller au magasin acheter du shampooing et du dentifrice.
"I heard a cotton candy shop has just opened. Let's go, dudes.","J'ai entendu dire qu'un magasin de barbe à papa vient juste d'ouvrir. Allons-y, les mecs."
I hope you know that the last thing I want to do is hurt you.,J'espère que tu sais que la dernière chose que je veuille faire est de te blesser.
I hope you know that the last thing I want to do is hurt you.,J'espère que vous savez que la dernière chose que je veuille faire est de vous blesser.
I just got a letter from someone that I knew a long time ago.,Je viens de recevoir une lettre de quelqu'un que j'ai connu il y a longtemps.
I love how you think of other people's needs before your own.,J'aime ta manière de penser aux besoins des autres avant les tiens.
"I might have to come home late. In that case, I'll phone you.","Il se pourrait que je rentre tard chez moi. Dans ce cas, je te téléphonerai."
"I might have to come home late. In that case, I'll phone you.","Il se pourrait que je rentre tard chez moi. Dans ce cas, je vous téléphonerai."
"I might have to come home late. In that case, I'll phone you.","Il se pourrait que je rentre tard à la maison. Dans ce cas, je te téléphonerai."
"I might have to come home late. In that case, I'll phone you.","Il se pourrait que je rentre tard à la maison. Dans ce cas, je vous téléphonerai."
I must apologize for not having written for such a long time.,Je dois présenter mes excuses pour ne pas avoir écrit pendant si longtemps.
I only had a piece of toast and a cup of coffee this morning.,J'ai seulement mangé une tartine et bu un café ce matin.
I planted various fruit trees on my property three years ago.,J'ai planté divers arbres fruitiers dans ma propriété il y a trois ans.
I put my fingers in my ears to block out the terrible sounds.,Je mis mes doigts dans mes oreilles pour éviter ces bruits terribles.
I really do want to devote some more time to studying French.,Je veux vraiment consacrer davantage de temps à l'apprentissage du français.
I remember the event as vividly as if it were just yesterday.,Je me rappelle l'événement de manière aussi saisissante que si c'était hier.
I think it's time for me to show you how to do that properly.,Je pense qu'il est temps que je vous montre comment faire cela correctement.
I think it's time for me to show you how to do that properly.,Je pense qu'il est temps que je te montre comment faire cela correctement.
I think that you are making the biggest mistake of your life.,Je pense que tu commets la plus grosse erreur de ta vie.
"I tried to open the door, but I couldn't since it was locked.",J'ai tenté d'ouvrir la porte mais je n'ai pas pu puisqu'elle était verrouillée.
"I tried to open the door, but I couldn't since it was locked.","J'ai tenté d'ouvrir la porte mais je n'ai pas pu, comme elle était verrouillée."
I walk across that bridge every morning on the way to school.,Je traverse ce pont tous les matins en allant à l'école.
I want this work completed by two o'clock tomorrow afternoon.,Je veux que ce travail soit fini demain à 14 heures.
"I want to get into shape, so I've been working out every day.",Je veux me mettre en forme alors je m'entraîne tous les jours.
I want to try my best for as long as I am physically able to.,Je veux faire de mon mieux aussi longtemps que j'en suis physiquement capable.
"I was able to find the street, but I couldn't find her house.","J'ai pu trouver sa rue, mais pas sa maison."
I was trying to say something when you so rudely interrupted.,J'essayais de dire quelque chose quand tu m'as si grossièrement interrompu.
I was wondering if you would like to go to the dance with me.,Je me demandais si vous aimeriez aller au bal avec moi.
I was wondering if you would like to go to the dance with me.,Je me demandais si tu aimerais aller au bal avec moi.
I wish I hadn't tried driving home after I had drunk so much.,Je n'aurais pas dû essayer de rentrer chez moi en voiture après avoir autant bu.
I won't be pressured into doing something I don't want to do.,Pas question d'être poussé à faire quelque chose que je ne veux pas faire.
"I'll lend you the money, but mind you, this is the last time.","Je te prêterai l'argent, mais je te préviens, c'est la dernière fois."
I'm extremely embarrassed that it has taken so long to reply.,Je suis extrêmement embarrassé que ça ait pris autant de temps pour répondre.
I'm extremely embarrassed that it has taken so long to reply.,Je suis extrêmement embarrassée que ça ait pris autant de temps pour répondre.
I'm glad to see that you're studying harder than you used to.,Je me réjouis de voir que tu étudies avec davantage d'application que tu ne le faisais.
I'm glad to see that you're studying harder than you used to.,Je me réjouis de voir que vous étudiez avec davantage d'application que vous ne le faisiez.
I'm sleepy because I stayed up all night studying for a test.,J'ai sommeil car j'ai veillé toute la nuit pour réviser un contrôle.
"I'm sorry, but I really don't have time to do that right now.","Je suis désolé, mais je n'ai vraiment pas le temps de faire ça maintenant."
"I'm willing to take care of your children, if you want me to.","Je suis prêt à m'occuper de tes enfants, si tu veux que je le fasse."
"I'm willing to take care of your children, if you want me to.","Je suis disposé à m'occuper de vos enfants, si vous voulez que je le fasse."
I've been keeping a diary in French for the last three years.,Je tiens un journal en français depuis ces trois dernières années.
I've been riding so long I'm starting to smell like my horse.,Je monte depuis tellement de temps que je commence à sentir comme mon cheval.
I've been trying to get a hold of you for the past two hours.,Ça fait deux heures que j'essaie de mettre la main sur toi.
I've been trying to get a hold of you for the past two hours.,Ça fait deux heures que j'essaie de mettre la main sur vous.
I've made an appointment to see the doctor on Monday at 2:30.,J'ai pris rendez-vous chez le docteur lundi à 14 h 30.
"If I had 25% more income, I'd be more satisfied with my life.","Si j'avais 25% de plus de revenu, je serais plus satisfait de ma vie."
"If I had had enough money, I would have bought that computer.","Si j'avais eu assez d'argent, j'aurais acheté cet ordinateur."
"If I had known that you were here, I would have come at once.",Si j'avais su que tu étais là je serais venu tout de suite.
"If I had not overslept, I would have been in time for school.","Si je n'avais pas fait la grasse matinée, j'aurais été à l'heure pour l'école."
"If I'm not mistaken, I think we took a wrong turn back there.","Si je ne m'abuse, je pense que nous avons pris une mauvaise route là-bas."
"If something sounds too good to be true, then it probably is.","Lorsque quelque chose semble trop beau pour être vrai, alors c'est probablement le cas."
"If that is true, then he is not responsible for the accident.","Si cela est vrai, il n'a pas causé l'accident."
"If the medicine isn't working, maybe we should up the dosage.","Si le médicament ne marche pas, peut-être devrions-nous augmenter la dose."
"If the medicine isn't working, maybe we should up the dosage.","Si le médicament ne fait pas effet, peut-être devrions-nous augmenter la dose."
"If we leave now, we could be back in Tucson before nightfall.","Si nous partons maintenant, nous pourrions être de retour à Tucson avant la tombée de la nuit."
"If you allow me to speak, I'll be able to explain everything.","Si vous m'autorisez à parler, je peux tout expliquer."
"If you behave like a lackey, you'll be treated like a lackey.","Si tu agis comme un serviteur, tu seras aussi traité comme un serviteur."
"If you behave like a lackey, you'll be treated like a lackey.","Si tu agis comme un serviteur, on te traitera aussi comme un serviteur."
"If you could manage to go camping with us, we'd be delighted.","Si vous faisiez en sorte de venir camper avec nous, nous serions ravis."
"If you could manage to go camping with us, we'd be delighted.","Si tu faisais en sorte de venir camper avec nous, nous serions ravis."
"If you could manage to go camping with us, we'd be delighted.","Si vous faisiez en sorte de venir camper avec nous, nous serions ravies."
"If you could manage to go camping with us, we'd be delighted.","Si tu faisais en sorte de venir camper avec nous, nous serions ravies."
"If you do this, you will regret it for the rest of your life.","Si tu fais ça, tu le regretteras pour le restant de tes jours."
"If you do this, you will regret it for the rest of your life.","Si vous faites ça, vous le regretterez pour le restant de vos jours."
"If you feed your dog properly, you can increase his lifespan.","Si on nourrit son chien correctement, on peut accroître sa durée de vie."
